Round;Timestamp;AccX;AccY;
9;11;-0.2861071;1.8375498;
9;31;0.22840682;-1.0517727;
9;82;1.3927071;-2.771049;
9;134;1.5040375;3.2218773;
9;186;-2.1133618;0.74363905;
9;237;-1.4334086;1.307234;
9;288;-0.8087614;0.6921637;
9;338;-2.892196;2.140177;
9;391;-3.523786;1.6445773;
9;443;-4.283945;-0.07062894;
9;497;-5.006755;3.2360032;
9;553;-0.65960264;-1.09008;
9;603;-6.196433;2.7712886;
9;656;-8.902121;-1.543781;
9;708;-6.1830263;-8.20038;
9;760;-8.539878;-4.177164;
9;811;-11.92911;-4.633498;
9;862;-12.905704;-1.0527306;
9;915;-7.7335114;-0.19009964;
9;967;-9.921092;-2.4981103;
9;1017;-6.682696;-2.5718513;
9;1071;-7.3518753;1.4381971;
9;1121;-8.916007;1.3848063;
9;1172;-6.7593107;3.8623261;
9;1223;-2.4363396;3.2700005;
9;1274;-1.9984401;4.486255;
9;1328;-3.157952;1.3917494;
9;1382;1.2729971;4.025371;
9;1437;-1.1073183;2.5242069;
9;1491;-2.206975;2.9317;
9;1542;-3.596809;1.2605472;
9;1595;-2.3005884;2.1825542;
9;1646;0.4967968;2.934094;
9;1697;-1.7671604;1.6639702;
9;1751;-2.6163838;1.4338872;
9;1803;-1.7255013;1.9665973;
9;1854;-1.8239025;1.6931795;
9;1908;0.6009446;2.094687;
9;1959;-2.2402542;-1.0905588;
9;2009;1.5322891;-0.81690156;
9;2062;-0.51978123;1.8004398;
9;2114;3.57167;-7.162973;
9;2164;9.716867;-2.887886;
9;2214;11.434947;-2.483745;
9;2267;7.657614;0.47836152;
9;2319;11.980585;-1.2107478;
9;2372;5.88806;-2.054704;
9;2424;12.439794;-1.7312472;
9;2474;12.563812;-1.8456901;
9;2526;9.67832;-0.20901385;
9;2578;15.097357;-4.8978186;
9;2630;4.7845726;0.9502586;
9;2682;12.099098;0.64787096;
9;2733;10.503363;3.3827674;
9;2783;3.6272156;5.5171976;
9;2834;3.2891545;7.590577;
9;2886;2.7710493;5.047217;
9;2939;6.3975472;4.2173867;
9;2991;2.8773515;6.017826;
9;3043;0.30909145;6.1576476;
9;3093;-0.52840036;3.3243492;
9;3143;-1.1657368;3.8592136;
9;3197;-2.4612393;4.4249635;
9;3250;-3.1668105;3.1239543;
9;3301;-0.5461174;3.1632192;
9;3351;-4.2995076;3.466804;
9;3402;-1.0761936;2.7679365;
9;3452;-5.2725105;-1.1882423;
9;3505;0.63637877;4.132632;
9;3557;-2.500265;2.8505366;
9;3609;-2.8227637;1.4197615;
9;3661;-8.6943035;-1.3745111;
9;3712;-3.5110965;0.4845864;
9;3765;-6.628347;1.5107412;
9;3817;-1.0089166;-0.38474822;
9;3870;3.5865142;-2.9451075;
9;3921;7.5900984;-2.2084117;
9;3972;12.778573;-2.1765687;
9;4023;10.15788;-1.9191921;
9;4077;7.1517196;-2.199553;
9;4128;9.818861;-2.9925127;
9;4179;11.64851;-1.7377117;
9;4232;12.265495;-1.9244595;
9;4284;9.67832;-1.7798496;
9;4338;10.572076;-2.1138406;
9;4392;10.746853;0.8250419;
9;4444;7.297288;3.2448616;
9;4496;8.498458;2.3343465;
9;4551;6.37528;4.726633;
9;4604;6.146634;5.4039526;
9;4655;5.4906225;8.884404;
9;4710;2.39899;1.2837708;
9;4763;-2.238818;4.6346955;
9;4817;-3.8963237;3.883635;
9;4867;-2.5864563;5.4209514;
9;4919;0.098641016;2.7655423;
9;4970;-2.924996;1.1212046;
9;5023;-1.6555904;-4.6653414;
9;5075;-3.3028011;0.39073372;
9;5126;-9.845915;-6.7214823;
9;5177;-6.839755;-0.6943184;
9;5231;-9.610086;-2.4471135;
9;5286;-8.581537;-3.0231586;
9;5339;-8.112753;-1.5124172;
9;5389;-9.086714;1.6093823;
9;5441;-9.278967;-0.9169792;
9;5494;-7.8053374;-5.0848055;
9;5544;-11.260649;0.441012;
9;5597;-3.3674445;5.6139245;
9;5650;-7.466797;5.4480057;
9;5701;-1.9862297;6.0350637;
9;5752;-2.555571;4.318422;
9;5803;1.1159374;5.4331617;
9;5855;0.16759412;4.4072466;
9;5907;-1.3505692;2.8244398;
9;5959;-2.2163124;3.4521992;
9;6012;-2.901533;3.2266655;
9;6063;-1.8907013;3.624103;
9;6114;-1.991018;0.563116;
9;6167;-0.5358225;4.63326;
9;6220;-1.9570204;1.403481;
9;6271;-0.19249372;6.367619;
9;6321;-2.9961038;1.1018116;
9;6372;-3.7296875;2.81606;
9;6423;-7.5687895;0.8336611;
9;6474;-8.616972;-2.846227;
9;6524;-5.6311626;9.5767976E-4;
9;6578;-12.107957;-0.80301523;
9;6629;-10.298419;-2.1464016;
9;6680;-5.2911854;-0.257616;
9;6732;-5.457583;-1.6972494;
9;6783;-8.703881;0.5810727;
9;6835;-9.84807;-2.1243749;
9;6886;-7.1859565;-1.1374853;
9;6936;-4.7005363;-1.2277467;
9;6986;-8.356961;1.9594147;
9;7036;-6.3281145;5.57418;
9;7087;-2.1454442;4.9638987;
9;7139;-3.916914;3.0030475;
9;7192;-0.6751648;1.3455414;
9;7246;-2.402342;2.3384168;
9;7297;-3.5687969;2.455254;
9;7347;-0.42233714;3.833835;
9;7398;-1.8253393;1.1571177;
9;7449;-0.79918444;2.1866245;
9;7500;-2.9163773;5.4578223;
9;7552;-1.7635691;2.223495;
9;7603;-2.1229386;-0.82695735;
9;7653;-3.1122231;2.6379313;
9;7705;-5.7889404;-3.1723175;
9;7755;-6.059245;-0.61100036;
9;7807;-2.945826;-3.2611423;
9;7857;-5.387912;-1.7992426;
9;7909;-5.7163963;-2.6015399;
9;7961;-14.407588;-4.551856;
9;8013;1.2677298;-4.539646;
9;8064;-8.405085;2.0717027;
9;8114;-11.02865;-0.20278879;
9;8166;-6.4509377;-2.3137565;
9;8217;-4.3215346;-6.3513384;
9;8267;-23.394224;-2.2244527;
9;8318;-6.9292984;0.09816227;
9;8370;-8.913134;2.264915;
9;8421;-10.300095;-1.2301408;
9;8472;-10.881407;-4.5947123;
9;8525;-8.005491;0.96151143;
9;8580;-5.9105654;9.206184;
9;8633;-6.1167064;6.450937;
9;8685;-1.4800955;6.9968147;
9;8736;4.9986143;4.8652573;
9;8790;1.0271126;8.250898;
9;8844;-2.85317;8.526232;
9;8897;2.0688298;6.848375;
9;8948;0.89423436;1.5296555;
9;8998;3.5204341;5.6450486;
9;9050;-1.865083;-0.18100157;
9;9101;-2.5052927;4.8003745;
9;9151;-6.734411;0.22577325;
9;9201;-3.0174124;3.6367927;
9;9251;-7.4244194;-1.0194511;
9;9303;-3.9164352;3.6899438;
9;9354;-6.4071226;1.9692309;
9;9405;-3.6085408;6.619249;
9;9457;-2.0386624;-2.7760768;
9;9511;1.4611814;2.9970617;
9;9566;4.308366;4.552096;
9;9617;2.5052924;-2.864184;
