Round;Timestamp;AccX;AccY;AccZ;Acc Vector a;
1;07:02:32:709;0.21787235;-0.29807812;10.260351;10.266992022160409;
1;07:02:32:720;0.20470424;-0.30166942;10.245986;10.252470137527757;
1;07:02:32:730;0.21547815;-0.29448682;10.283096;10.289568935666642;
1;07:02:32:741;0.20231004;-0.30645782;10.274716;10.28127634340755;
1;07:02:32:751;0.22266077;-0.31483752;10.259154;10.266398640226233;
1;07:02:32:761;0.21428105;-0.31124622;10.287885;10.294822013542893;
1;07:02:32:772;0.20709845;-0.31004912;10.274716;10.281479296692686;
1;07:02:32:783;0.18794483;-0.3172317;10.266336;10.27295589115904;
1;07:02:32:793;0.22385786;-0.3172317;10.280702;10.288030643613276;
1;07:02:32:804;0.20470424;-0.31004912;10.250774;10.257504948859586;
1;07:02:32:815;0.22625206;-0.32441434;10.278308;10.285915070042384;
1;07:02:32:826;0.21308395;-0.31603462;10.298658;10.305709175091373;
1;07:02:32:836;0.20590134;-0.31244332;10.272323;10.279135628663576;
1;07:02:32:846;0.23582886;-0.29448682;10.277111;10.284033494192245;
1;07:02:32:857;0.20949265;-0.29448682;10.3226;10.328924612697353;
1;07:02:32:868;0.21787235;-0.29927522;10.243592;10.250278748234308;
1;07:02:32:879;0.22266077;-0.31364042;10.290278;10.297464773511912;
1;07:02:32:889;0.20470424;-0.320823;10.261548;10.26860256356231;
1;07:02:32:900;0.20590134;-0.31244332;10.274716;10.281527529973811;
1;07:02:32:910;0.19632454;-0.2825158;10.268731;10.274492356134658;
1;07:02:32:921;0.21428105;-0.29568392;10.259154;10.265651011905781;
1;07:02:32:931;0.21428105;-0.31004912;10.243592;10.250523251459455;
1;07:02:32:942;0.20949265;-0.320823;10.260351;10.267502890215612;
1;07:02:32:953;0.20470424;-0.30526072;10.2495775;10.256165301747888;
1;07:02:32:964;0.21547815;-0.29448682;10.244789;10.25128575146091;
1;07:02:32:974;0.22026655;-0.30166942;10.243592;10.250400070198289;
1;07:02:32:985;0.21787235;-0.31364042;10.277111;10.284203751470399;
1;07:02:32:995;0.22625206;-0.31244332;10.289082;10.296310386170347;
1;07:02:33:006;0.20590134;-0.32321724;10.274716;10.281860704459016;
1;07:02:33:016;0.20829555;-0.29448682;10.296265;10.302581271078038;
1;07:02:33:027;0.21188685;-0.31124622;10.267534;10.274435550379701;
1;07:02:33:037;0.22625206;-0.29209262;10.271125;10.277767623575595;
1;07:02:33:047;0.23104046;-0.31004912;10.266336;10.273615730393134;
1;07:02:33:057;0.22625206;-0.3172317;10.263943;10.27133600476364;
1;07:02:33:067;0.20590134;-0.30765492;10.253169;10.259850211732504;
1;07:02:33:077;0.22146365;-0.30765492;10.275913;10.282902825327911;
1;07:02:33:087;0.21906945;-0.29927522;10.296265;10.302942644518142;
1;07:02:33:098;0.21068975;-0.32680854;10.275913;10.283267116075825;
1;07:02:33:108;0.23104046;-0.2681506;10.235212;10.241330830401603;
1;07:02:33:118;0.20829555;-0.32680854;10.29387;10.301162683732295;
1;07:02:33:129;0.22266077;-0.31244332;10.2495775;10.256755928425564;
1;07:02:33:139;0.20949265;-0.3196259;10.262746;10.26985887053484;
1;07:02:33:148;0.21428105;-0.31004912;10.253169;10.26009374326597;
1;07:02:33:159;0.22026655;-0.30526072;10.262746;10.269647144172984;
1;07:02:33:170;0.21547815;-0.30765492;10.274716;10.28157947325428;
1;07:02:33:181;0.22864626;-0.31483752;10.279505;10.286866668451195;
1;07:02:33:192;0.22146365;-0.30166942;10.229227;10.23607042552696;
1;07:02:33:202;0.22385786;-0.320823;10.238804;10.246274689833923;
1;07:02:33:212;0.22026655;-0.2837129;10.206482;10.212800046512173;
1;07:02:33:222;0.22744916;-0.29688102;10.267534;10.27434310112661;
1;07:02:33:233;0.21787235;-0.31483752;10.244789;10.251941031915615;
1;07:02:33:244;0.21787235;-0.3184288;10.26514;10.272388105862285;
1;07:02:33:255;0.21787235;-0.30526072;10.290278;10.297110617088023;
1;07:02:33:266;0.20350714;-0.31483752;10.254366;10.261216516188021;
1;07:02:33:277;0.21906945;-0.3184288;10.287885;10.295142530183682;
1;07:02:33:288;0.21667525;-0.32920274;10.267534;10.275094923337388;
1;07:02:33:299;0.21787235;-0.32441434;10.2735195;10.280949086710581;
1;07:02:33:309;0.20709845;-0.30526072;10.255563;10.262194566909242;
1;07:02:33:320;0.23582886;-0.30645782;10.257957;10.265243360604824;
1;07:02:33:330;0.22984336;-0.31364042;10.254366;10.261735850052368;
1;07:02:33:341;0.22505496;-0.29688102;10.299856;10.306591213817033;
1;07:02:33:352;0.22984336;-0.31124622;10.29387;10.301138983407066;
1;07:02:33:362;0.21667525;-0.320823;10.304645;10.311914045853102;
1;07:02:33:372;0.20111294;-0.30885202;10.26514;10.271753812840412;
1;07:02:33:383;0.22984336;-0.30885202;10.281899;10.28910439496501;
1;07:02:33:393;0.21547815;-0.30047232;10.267534;10.27418938847888;
1;07:02:33:403;0.21308395;-0.30286652;10.242394;10.24908666495802;
1;07:02:33:414;0.21428105;-0.30885202;10.287885;10.29474975696805;
1;07:02:33:425;0.20709845;-0.31004912;10.262746;10.269516763136416;
1;07:02:33:435;0.21188685;-0.32561144;10.244789;10.252152007679861;
1;07:02:33:445;0.20590134;-0.29448682;10.2735195;10.279801750794833;
1;07:02:33:456;0.21906945;-0.30047232;10.242394;10.249142494618757;
1;07:02:33:466;0.22625206;-0.29209262;10.262746;10.26939418116495;
1;07:02:33:477;0.22984336;-0.29448682;10.257957;10.264757279370738;
1;07:02:33:487;0.22744916;-0.29807812;10.250774;10.257629532355264;
1;07:02:33:497;0.20470424;-0.30047232;10.262746;10.269183931103768;
1;07:02:33:508;0.21428105;-0.29927522;10.290278;10.296859440191202;
1;07:02:33:518;0.22984336;-0.32321724;10.25676;10.264424664650672;
1;07:02:33:529;0.20590134;-0.30526072;10.262746;10.269349234075461;
1;07:02:33:540;0.21787235;-0.29328972;10.243592;10.250105694481734;
1;07:02:33:551;0.22625206;-0.29927522;10.266336;10.273189457556956;
1;07:02:33:561;0.22146365;-0.30166942;10.277111;10.283922584340234;
1;07:02:33:572;0.20949265;-0.30885202;10.241198;10.247994947874446;
1;07:02:33:582;0.20111294;-0.30406362;10.238804;10.245292140654813;
1;07:02:33:593;0.21188685;-0.31124622;10.2735195;10.280416994060959;
1;07:02:33:603;0.22266077;-0.30885202;10.242394;10.24946890594844;
1;07:02:33:613;0.21188685;-0.29568392;10.257957;10.264405339218314;
1;07:02:33:624;0.21308395;-0.31244332;10.262746;10.269711776893681;
1;07:02:33:635;0.20111294;-0.29568392;10.243592;10.249832151946022;
1;07:02:33:644;0.19632454;-0.30645782;10.268731;10.275178826996532;
1;07:02:33:655;0.19153613;-0.32441434;10.26514;10.272050539100361;
1;07:02:33:665;0.20829555;-0.30765492;10.298658;10.305357893161807;
1;07:02:33:676;0.20709845;-0.31364042;10.251971;10.258858179279901;
1;07:02:33:686;0.21308395;-0.29927522;10.299856;10.306406151101598;
1;07:02:33:696;0.20829555;-0.30885202;10.280702;10.287448857899914;
1;07:02:33:707;0.22266077;-0.30166942;10.228029;10.234899050275773;
1;07:02:33:718;0.20111294;-0.31603462;10.255563;10.262401986438165;
1;07:02:33:729;0.21428105;-0.30645782;10.259154;10.265966865502428;
1;07:02:33:739;0.21906945;-0.29328972;10.299856;10.306359514773096;
1;07:02:33:750;0.22266077;-0.2861071;10.257957;10.264361856862475;
1;07:02:33:761;0.20590134;-0.30047232;10.261548;10.268011132264354;
1;07:02:33:771;0.23463176;-0.30047232;10.245986;10.253075859233428;
1;07:02:33:782;0.21667525;-0.2861071;10.277111;10.283375807251433;
