Round;Timestamp;AccX;AccY;
13;11;4.173094;-4.280833;
13;37;0.6033388;-1.603716;
13;98;0.11751536;-0.1238999;
13;159;0.24799936;-0.41299978;
13;221;0.007984136;-0.10007279;
13;281;0.39718533;-0.43772438;
13;346;0.22066993;-0.5645039;
13;409;0.075836256;-0.2815096;
13;471;0.062930696;-0.18747148;
13;538;-0.09836527;-0.09424446;
13;602;0.2718239;0.05483176;
13;664;0.47843617;-0.13646688;
13;725;0.3256779;-0.28445485;
13;788;0.7598359;-0.44739097;
13;850;0.97669864;-0.25369295;
13;916;0.73582834;-0.12236167;
13;979;-0.64765215;-0.4327312;
13;1042;-2.5610287;-0.68249947;
13;1105;-4.283003;-0.98908687;
13;1168;-6.450954;-1.2798971;
13;1233;-7.888862;-1.2079525;
13;1298;-8.217199;-1.0513422;
13;1361;-7.392767;-0.5515059;
13;1425;-6.4561725;-0.67670757;
13;1489;-5.5529475;-0.9060326;
13;1551;-4.400782;-1.0304017;
13;1612;-3.5608711;-1.0670141;
13;1675;-2.738327;-1.0874755;
13;1739;-1.8662992;-0.7401668;
13;1803;-1.3913783;-0.5155091;
13;1867;-0.49046075;-0.22858237;
13;1928;-0.24159509;-0.3468276;
13;1990;-0.6182869;-0.13960303;
13;2054;-1.251929;-0.059590757;
13;2116;-2.5366082;0.09037333;
13;2179;-3.5619156;0.043999072;
13;2244;-4.4391026;0.08264144;
13;2307;-5.1774755;-0.1797344;
13;2370;-5.1826367;-0.56017405;
13;2433;-5.7137485;-0.7732261;
13;2497;-6.0492167;-0.6766029;
13;2559;-6.2720666;-0.8814229;
13;2622;-6.53348;-0.91264516;
13;2684;-6.557614;-0.82102376;
13;2747;-6.774118;-0.8286658;
13;2809;-6.731119;-0.80062985;
13;2871;-6.3315134;-0.7887065;
13;2933;-6.1573434;-0.6242311;
13;2998;-5.4610653;-0.22983296;
13;3060;-4.673578;-0.33469155;
13;3124;-3.3533664;-0.4616145;
13;3188;-2.2501228;-0.40202808;
13;3253;-1.6532627;-0.71022105;
13;3317;-1.4573034;-1.0541319;
13;3380;-0.2077359;-0.91772383;
13;3443;0.2912894;-0.68091106;
13;3506;0.32698646;-0.40145284;
13;3568;0.73849976;-0.47351903;
13;3630;1.032751;-0.588052;
13;3693;0.2658902;-0.4407309;
13;3758;-0.5588959;-0.54232216;
13;3820;-1.1082717;-0.4641651;
13;3881;0.3658481;-0.03382889;
13;3944;1.9204372;0.08342046;
13;4006;3.8641963;-0.22728163;
13;4067;6.1636333;-0.6148192;
13;4129;7.522965;-1.0539298;
13;4196;7.729168;-1.2525527;
13;4258;6.527514;-1.0984446;
13;4320;4.1154556;-0.63384944;
13;4384;2.4478173;-0.36115995;
13;4447;1.3488071;-0.010585636;
13;4510;1.7878674;-0.2536092;
13;4575;2.372248;-0.15798797;
13;4641;2.5015657;-0.41010466;
13;4705;3.2213116;-0.45700324;
13;4767;2.7095165;-0.59200954;
13;4829;1.3101629;-0.6118162;
13;4895;0.52999794;-0.5255688;
13;4959;0.7562413;-0.24552661;
13;5022;1.3614714;-0.16356324;
13;5086;1.4145437;0.08614199;
13;5148;0.48283657;-0.22386308;
13;5212;-0.3397228;0.1151091;
13;5275;-1.71346;-0.16315982;
13;5337;-3.442209;-0.43105558;
13;5400;-4.946219;-0.53933537;
13;5463;-5.483424;-0.5954653;
13;5528;-5.6494527;-0.7441079;
13;5592;-4.9507256;-0.882563;
13;5658;-4.298942;-0.85177785;
13;5722;-2.9011824;-0.6409733;
13;5784;-1.5838196;-0.37853345;
13;5848;-0.65604407;-0.4993707;
13;5910;-0.07138557;-0.3849214;
13;5973;-0.90871525;-0.3937848;
13;6037;-2.1399827;-0.49632436;
13;6101;-3.4510856;-0.4949787;
13;6165;-5.2263446;-0.6199022;
13;6227;-6.8053756;-0.7952248;
13;6288;-7.730351;-0.8826495;
