 counter ; timestamp ; amplitude ; accx ; accy ; accz ; magx ; magy ; magz ; gyrx ; gyry ; gyrz ; temp ; act state
1;1521877803;2900;65290;65123;16329;65199;2698;62775;63;65452;65499;0;0
2;1521877803;1886;65271;65099;16261;65186;2735;62759;47;65418;65492;0;0
3;1521877803;2174;65265;65109;16323;65230;2696;62802;76;65416;14;0;0
4;1521877804;1771;65274;65106;16322;65191;2730;62753;62;65432;65527;0;0
5;1521877804;2277;65286;65118;16309;65205;2737;62779;50;65443;3;0;0
6;1521877804;1624;65279;65115;16294;65230;2695;62810;77;65432;65515;0;0
7;1521877804;2254;65275;65115;16301;65222;2715;62814;71;65425;65503;0;0
8;1521877804;1744;65272;65112;16306;65180;2703;62817;70;65429;65521;0;0
9;1521877804;2438;65288;65125;16311;65184;2692;62808;97;65447;65507;0;0
10;1521877804;2130;65262;65124;16329;65200;2734;62838;70;65444;65522;0;0
11;1521877804;1886;65266;65112;16310;65219;2711;62803;89;65450;65501;0;0
12;1521877804;2133;65284;65119;16300;65209;2721;62794;52;65435;65509;0;0
13;1521877804;1834;65275;65116;16289;65220;2691;62793;83;65442;65534;0;0
14;1521877805;2215;65275;65111;16299;65182;2708;62766;101;65449;65497;0;0
15;1521877805;2487;65278;65119;16343;65234;2702;62790;70;65444;65514;0;0
16;1521877805;2117;65270;65099;16302;65211;2722;62800;102;65432;65529;0;0
17;1521877805;1888;65256;65120;16303;65185;2722;62840;80;65452;65510;0;0
18;1521877805;2246;65272;65108;16271;65237;2721;62818;89;65423;65497;0;0
19;1521877805;1816;65274;65124;16328;65227;2712;62801;84;65439;65494;0;0
20;1521877805;2244;65275;65116;16295;65224;2715;62800;98;65458;65511;0;0
21;1521877805;1761;65280;65123;16288;65204;2713;62840;97;65441;5;0;0
22;1521877805;2232;65276;65105;16274;65207;2715;62789;74;65459;65500;0;0
23;1521877805;1752;65275;65121;16321;65191;2715;62789;86;65441;65509;0;0
24;1521877806;2180;65272;65133;16294;65173;2705;62833;68;65418;65503;0;0
25;1521877806;1723;65268;65106;16297;65227;2679;62842;52;65445;65512;0;0
26;1521877806;1823;65283;65104;16296;65204;2703;62796;64;65442;65526;0;0
27;1521877806;2119;65276;65122;16321;65204;2702;62819;74;65440;65515;0;0
28;1521877806;1913;65280;65113;16296;65217;2716;62811;89;65443;65515;0;0
29;1521877806;2108;65269;65113;16293;65208;2706;62833;101;65436;65529;0;0
30;1521877806;1869;65277;65123;16310;65200;2681;62831;77;65440;65532;0;0
31;1521877806;2110;65274;65113;16272;65202;2685;62812;78;65455;65513;0;0
32;1521877806;1792;65281;65113;16365;65192;2721;62804;74;65438;65529;0;0
33;1521877807;2323;65267;65116;16299;65191;2695;62767;89;65459;65527;0;0
34;1521877807;1691;65272;65117;16290;65215;2695;62814;87;65431;65513;0;0
35;1521877807;2366;65288;65114;16252;65205;2745;62814;77;65433;3;0;0
36;1521877807;1701;65294;65117;16306;65184;2718;62805;89;65429;65513;0;0
37;1521877807;1876;65274;65119;16361;65213;2716;62815;60;65470;65513;0;0
38;1521877807;2150;65275;65090;16266;65221;2715;62796;66;65451;65493;0;0
39;1521877807;1882;65276;65116;16304;65203;2681;62793;56;65449;65497;0;0
40;1521877807;2202;65282;65123;16320;65203;2707;62803;76;65410;65512;0;0
41;1521877807;1824;65283;65109;16296;65223;2720;62806;78;65420;65514;0;0
42;1521877807;2228;65268;65123;16308;65202;2738;62781;67;65436;65514;0;0
43;1521877808;1727;65282;65128;16271;65198;2744;62760;77;65437;65519;0;0
44;1521877808;2351;65283;65129;16303;65197;2724;62806;44;65419;65513;0;0
45;1521877808;1673;65276;65122;16303;65199;2732;62800;84;65457;3;0;0
46;1521877808;1938;65266;65121;16304;65215;2747;62812;76;65426;65520;0;0
47;1521877808;2115;65279;65114;16292;65210;2744;62781;55;65432;65522;0;0
48;1521877808;1811;65262;65120;16323;65181;2726;62799;61;65451;65529;0;0
49;1521877808;2138;65271;65118;16299;65179;2697;62824;74;65422;65504;0;0
50;1521877808;1752;65273;65113;16298;65231;2729;62821;60;65451;65492;0;0
51;1521877808;2170;65533;65126;16258;65238;2718;62816;94;65427;65500;0;0
52;1521877809;1788;65268;65117;16311;65252;2723;62768;80;65445;65519;0;0
53;1521877809;2159;65285;65100;16297;65209;2717;62800;81;65437;65519;0;0
54;1521877809;1714;65259;65114;16260;65224;2698;62801;90;65418;65507;0;0
55;1521877809;1758;65265;65119;16351;65233;2686;62824;78;65452;65514;0;0
56;1521877809;1649;65281;65125;16289;65213;2695;62769;69;65438;65514;0;0
57;1521877809;1912;65267;65116;16327;65226;2699;62812;96;65440;65517;0;0
58;1521877809;2182;65263;65100;16271;65215;2685;62816;96;65433;65513;0;0
59;1521877809;1901;65255;65118;16296;65192;2729;62820;76;65455;24;0;0
60;1521877809;2130;65258;65107;16303;65180;2714;62842;70;65423;238;0;0
61;1521877809;1779;65274;65111;16297;65210;2682;62840;60;65452;65533;0;0
62;1521877810;2255;65278;65111;16326;65211;2722;62844;89;65449;9;0;0
63;1521877810;1838;65278;65114;16292;65213;2705;62859;88;65432;65506;0;0
64;1521877810;2302;65278;65107;16300;65222;2752;62824;88;65473;65528;0;0
65;1521877810;1723;65280;65116;16308;65207;2695;62826;50;65440;65534;0;0
66;1521877810;1961;65276;65111;16296;65214;2694;62832;51;65430;65498;0;0
67;1521877810;2142;65267;65121;16299;65241;2714;62830;51;65436;65506;0;0
68;1521877810;1903;65273;65111;16305;65231;2723;62779;50;65463;65526;0;0
69;1521877810;2154;65290;65119;16276;65250;2710;62806;67;65431;65519;0;0
70;1521877810;1836;65272;65112;16305;65260;2724;62800;72;65416;65504;0;0
71;1521877810;2156;65301;65115;16292;65267;2730;62808;55;65446;65512;0;0
72;1521877811;1702;65275;65111;16320;65259;2720;62829;52;65436;65518;0;0
73;1521877811;2321;65285;65116;16301;65248;2679;62768;86;65433;65501;0;0
74;1521877811;1669;65272;65110;16273;65258;2675;62802;72;65443;65474;0;0
