 counter ; timestamp ; amplitude ; accx ; accy ; accz ; magx ; magy ; magz ; gyrx ; gyry ; gyrz ; temp ; act state
1;1521884038;2752;65164;65086;16297;65113;2292;62818;45;65450;65505;0;0
2;1521884038;2929;65148;65087;16320;65146;2306;62826;83;65454;65503;0;0
3;1521884038;2461;65165;65086;16319;65146;2306;62826;69;65442;65525;0;0
4;1521884037;1907;65172;65089;16311;65159;2299;62844;81;65451;65522;0;0
5;1521884037;1924;65180;65099;16289;65159;2299;62844;88;65437;65491;0;0
6;1521884037;2054;65186;65092;16308;65163;2285;62803;56;65444;65520;0;0
7;1521884037;2335;65191;65113;16326;65163;2285;62803;90;65450;65512;0;0
8;1521884037;3345;65156;65092;16295;65160;2306;62839;74;65439;65510;0;0
9;1521884037;2165;65173;65109;16296;65160;2306;62839;83;65447;8;0;0
10;1521884037;2261;65157;65103;16323;65160;2306;62839;79;65440;65504;0;0
11;1521884037;2053;65160;65094;16281;65151;2278;62838;69;65455;65503;0;0
12;1521884037;1903;65169;65095;16297;65151;2278;62838;91;65444;65524;0;0
13;1521884037;2119;65173;65105;16324;65176;2283;62815;78;65435;65514;0;0
14;1521884037;2468;65173;65095;16293;65176;2283;62815;71;65460;65518;0;0
15;1521884037;3501;65156;65119;16303;65158;2278;62857;78;65442;65526;0;0
16;1521884037;2187;65142;65107;16307;65158;2278;62857;109;65451;3;0;0
17;1521884037;2032;65150;65107;16292;65158;2278;62857;103;65428;65517;0;0
18;1521884037;2084;65152;65112;16306;65140;2287;62810;41;65426;65524;0;0
19;1521884037;1878;65135;65098;16322;65140;2287;62810;75;65461;65530;0;0
20;1521884037;2150;65166;65093;16274;65180;2278;62802;68;65442;65505;0;0
21;1521884037;2396;65168;65113;16302;65180;2278;62802;80;65462;65492;0;0
22;1521884037;3550;65162;65094;16310;65180;2534;62871;95;65443;65493;0;0
23;1521884037;2400;65182;65093;16301;65174;2308;62871;73;65451;65523;0;0
24;1521884037;1981;65169;65105;16359;65174;2308;62871;75;65447;65513;0;0
25;1521884037;2089;65179;65114;16303;65171;2293;62789;84;65456;2;0;0
26;1521884037;1878;65179;65106;16313;65171;2293;62789;93;65440;65517;0;0
27;1521884037;2168;65171;65103;16325;65184;2296;62790;74;65442;65501;0;0
28;1521884037;2400;65198;65095;16317;65184;2296;62790;76;65428;65496;0;0
29;1521884037;3305;65192;65097;16310;65184;2296;62790;60;65453;65511;0;0
30;1521884037;2457;65166;65110;16330;65165;2285;62804;69;65421;65526;0;0
31;1521884037;1988;65155;65096;16297;65165;2285;62804;64;65460;65521;0;0
32;1521884037;2128;65187;65093;16294;65177;2262;62817;79;65449;65530;0;0
