 counter ; timestamp ; amplitude ; accx ; accy ; accz ; magx ; magy ; magz ; gyrx ; gyry ; gyrz ; temp ; act state
1;1521878307;4081;65281;65110;16311;65098;2683;62748;59;65419;65529;0;0
2;1521878307;1819;65248;65116;16228;65052;2650;62743;83;65451;65505;0;0
3;1521878307;2088;65266;65138;16312;65117;2659;62737;65;65450;65505;0;0
4;1521878307;1795;65274;65104;16313;65098;2635;62784;81;65449;65497;0;0
5;1521878307;2146;65269;65105;16422;65093;2643;62754;47;65420;65503;0;0
6;1521878307;1697;65241;65215;16091;65113;2686;62782;66;65452;65511;0;0
7;1521878307;2355;65254;65173;16039;65106;2660;62789;95;65449;65523;0;0
8;1521878307;1787;65275;65180;16422;65116;2677;62758;99;65435;65506;0;0
9;1521878307;1996;65270;65095;16283;65105;2674;62764;89;65414;65523;0;0
10;1521878307;2123;65283;65101;16259;65079;2649;62748;89;65424;65493;0;0
11;1521878307;1853;65279;65109;16315;65092;2697;62797;88;65425;65530;0;0
12;1521878307;2153;65271;65125;16231;65081;2642;62793;66;65449;65494;0;0
13;1521878307;2022;65024;65137;16278;65072;2633;62739;66;65430;65516;0;0
14;1521878308;2195;65523;65107;16280;65126;2655;62738;77;65421;65519;0;0
15;1521878308;1493;65307;65105;16278;65065;2666;62752;73;65423;65284;0;0
16;1521878308;2107;65268;65150;16285;65086;2663;62793;65;65438;65504;0;0
17;1521878308;1947;65024;65119;16291;65070;2658;62772;78;65428;65514;0;0
18;1521878308;2073;65272;65125;16272;65088;2670;62752;96;65439;65527;0;0
19;1521878308;1899;65265;65121;16339;65109;2661;62784;72;65428;65512;0;0
20;1521878308;2193;65260;65116;16330;65111;2696;62773;72;65425;65506;0;0
21;1521878308;1817;65251;65118;16345;65147;2657;62785;67;65437;65494;0;0
22;1521878308;2200;65262;65129;16356;65123;2686;62789;61;65462;65498;0;0
23;1521878309;1631;65265;65114;16276;65111;2663;62787;71;65443;65498;0;0
24;1521878309;2310;65275;65124;16311;65143;2658;62778;73;65421;65515;0;0
25;1521878309;2013;65279;65117;16298;65173;2645;62785;58;65435;65513;0;0
26;1521878309;1905;65267;65105;16292;65117;2653;62764;79;65424;65491;0;0
27;1521878309;2123;65272;65125;16309;65106;2626;62771;97;65449;65515;0;0
28;1521878309;1881;65280;65117;16296;65107;2643;62768;87;65458;65501;0;0
29;1521878309;2185;65264;65113;16303;65139;2628;62798;73;65431;65514;0;0
30;1521878309;1726;65274;65118;16305;65079;2641;62762;70;65421;65508;0;0
31;1521878309;2243;65269;65111;16284;65111;2653;62798;74;65457;65508;0;0
32;1521878309;1779;65281;65111;16291;65114;2671;62775;79;65424;65506;0;0
33;1521878310;2286;65263;65110;16319;65068;2664;62834;60;65440;65515;0;0
34;1521878310;2076;65533;65118;16310;65087;2652;62776;88;65435;65505;0;0
35;1521878310;1861;65249;65104;16356;65092;2656;62755;53;65433;65485;0;0
36;1521878310;2092;65283;65118;16292;65075;2655;62801;53;65444;65499;0;0
37;1521878310;1891;65261;65129;16313;65086;2649;62821;72;65434;65505;0;0
38;1521878310;2169;65259;65113;16293;65129;2670;62783;97;65449;65495;0;0
39;1521878310;1852;65278;65107;16294;65082;2676;62759;68;65453;65506;0;0
40;1521878310;2127;65280;65105;16347;65093;2673;62789;74;65440;65501;0;0
41;1521878310;1777;65279;65110;16241;65103;2684;62736;64;65441;65505;0;0
42;1521878310;2198;65241;65144;16380;65115;2693;62774;93;65426;65483;0;0
43;1521878311;1795;65255;65105;16257;65132;2664;62741;73;65430;65521;0;0
44;1521878311;2303;65270;65124;16299;65105;2668;62748;61;65440;250;0;0
45;1521878311;2069;65275;65117;16304;65119;2630;62750;71;65444;65505;0;0
46;1521878311;1882;65268;65118;16297;65120;2645;62763;39;65447;65500;0;0
47;1521878311;2138;65272;65126;16334;65077;2638;62724;63;65437;65521;0;0
48;1521878311;1904;65277;65112;16266;65069;2649;62778;70;65430;65512;0;0
49;1521878311;2162;65267;65118;16306;65085;2654;62759;95;65431;65495;0;0
50;1521878311;1842;65282;65127;16297;65088;2666;62741;86;65459;65495;0;0
51;1521878311;2248;65262;65111;16291;65088;2643;62745;60;65445;65517;0;0
52;1521878312;1745;65287;65143;16284;65089;2653;62721;63;65426;65504;0;0
53;1521878312;2348;65252;65103;16300;65098;2622;62768;55;65459;65520;0;0
54;1521878312;1931;65277;65125;16310;65104;2683;62798;72;65409;65498;0;0
55;1521878312;1914;65260;65113;16307;65101;2650;62773;52;65444;65521;0;0
56;1521878312;2091;65268;65123;16280;65084;2626;62763;78;65433;65504;0;0
57;1521878312;1776;65287;65127;16296;65080;2666;62772;51;65428;65480;0;0
58;1521878312;2181;65252;65127;16335;65061;2661;62784;89;65455;65507;0;0
59;1521878312;1813;65279;65111;16282;65092;2647;62795;47;65438;65495;0;0
60;1521878312;2243;65275;65121;16295;65088;2623;62819;95;65434;65496;0;0
61;1521878312;1669;65255;65132;16318;65103;2654;62785;74;65448;65515;0;0
62;1521878313;2241;65277;65105;16298;65092;2654;62810;119;65428;65521;0;0
63;1521878313;1746;65256;65119;16286;65081;2660;62780;90;65431;65513;0;0
64;1521878313;1791;65272;65119;16273;65082;2651;62761;58;65434;65489;0;0
65;1521878313;2100;65268;65120;16321;65097;2652;62752;78;65436;4;0;0
66;1521878313;1907;65285;65131;16278;65080;2644;62783;71;65431;65509;0;0
67;1521878313;2071;65264;65117;16287;65096;2629;62733;82;65407;65505;0;0
68;1521878313;1880;65265;65139;16321;65115;2666;62754;70;65423;65521;0;0
69;1521878313;2107;65269;65126;16260;65082;2634;62781;61;65428;65503;0;0
70;1521878313;1816;65269;65129;16292;65109;2644;62764;82;65439;65485;0;0
71;1521878313;2236;65260;65130;16308;65108;2651;62789;67;65441;65506;0;0
72;1521878314;1714;65289;65140;16286;65133;2661;62760;75;65447;65517;0;0
73;1521878314;1920;65278;65145;16311;65138;2649;62772;72;65447;65505;0;0
74;1521878314;1936;65251;65121;16294;65110;2651;62768;53;65426;65516;0;0
75;1521878314;1915;65289;65116;16427;65098;2635;62775;61;65440;65485;0;0
76;1521878314;2101;65277;65036;16100;65089;2652;62782;68;65434;65516;0;0
77;1521878314;1931;65273;65326;16422;65074;2686;62778;21;65423;65525;0;0
78;1521878314;2191;65260;65248;16109;65095;2664;62777;98;65445;65515;0;0
