Round;Timestamp;AccX;AccY
9;10;-3.4608185;-0.107739076
9;30;0.77883387;-0.10007763
9;81;-0.8054096;-0.376129
9;132;1.4659697;0.923683
9;182;1.0775391;0.35559702
9;233;0.59458816;0.45788845
9;284;-0.25294477;0.48060125
9;335;-1.753704;0.13690996
9;387;-2.3430796;-0.097932205
9;439;-2.549057;-0.1586081
9;490;-1.9931482;-0.3322603
9;542;-1.3301647;-0.27946037
9;596;-0.50798327;-0.36553967
9;649;0.4300982;-0.49517894
9;701;1.3623794;-0.3265619
9;752;1.3077711;-0.36830595
9;803;1.5612806;-0.010255731
9;854;0.75193685;0.12136111
9;905;-0.31583157;0.06371164
9;959;-1.7199116;0.113594994
9;1012;-2.8792963;0.031752706
9;1064;-3.5072184;-0.24798955
9;1118;-3.0420518;-0.19411898
9;1170;-3.656342;-0.5371044
9;1222;-3.5960264;-0.3193513
9;1274;-3.9828198;-0.451561
9;1326;-4.7301216;-0.64120966
9;1379;-5.1881504;-0.54313767
9;1431;-5.587109;-0.41796753
9;1485;-5.6453314;-0.34858334
9;1536;-6.0019083;-0.46907702
9;1589;-7.13315;-0.74316746
9;1643;-7.9332833;-0.72364795
9;1696;-7.765667;-0.46704656
9;1748;-7.337226;-0.4236908
9;1801;-5.9746685;-0.71767807
9;1854;-3.86827;-0.692965
9;1906;-2.3126798;-0.7399462
9;1959;-1.1597232;-0.87110704
9;2012;-1.0869696;-0.6771259
9;2065;-1.427282;-0.5024786
9;2118;-1.7577171;0.042972326
9;2171;-2.7614744;0.17566708
9;2224;-2.76393;-0.3032697
9;2277;-2.7307436;-0.46930704
9;2329;-3.7051425;-0.6326684
9;2382;-3.5551229;-0.6060149
9;2435;-4.030485;-0.5954462
9;2487;-3.911628;-0.34266415
9;2540;-3.3841178;0.3240485
9;2593;-2.8246498;0.6570435
9;2647;-1.6018494;0.37173352
9;2699;-1.3225528;0.031399317
9;2751;-2.2673879;-0.38336036
9;2802;-3.235776;-0.695156
9;2853;-4.9876704;-1.2206998
9;2906;-6.333035;-1.1647875
9;2959;-6.9064593;-0.91469395
9;3012;-6.2921796;-0.718214
9;3064;-5.141011;-0.4436601
9;3116;-4.756603;-0.032825455
9;3168;-4.560311;-0.29430956
9;3221;-5.6879315;-0.7060097
9;3275;-6.6928935;-0.6324279
9;3329;-7.707388;-0.59225196
9;3381;-8.249574;-0.81719804
