Round;Timestamp;AccX;AccY
13;11;4.173094;-4.280833
13;32;0.31316158;-1.5464149
13;83;0.8585607;-1.0917559
13;134;-0.22361843;-0.27892447
13;185;0.010062891;0.013253109
13;236;0.57768565;-0.2390564
13;286;0.7210808;-0.34641406
13;341;0.55803037;-0.5535281
13;394;0.2021618;-0.5093089
13;446;-0.15809396;-0.18760182
13;498;-0.23514903;-0.14360961
13;555;-0.089949474;-0.032348678
13;607;0.16362554;-0.08875755
13;659;0.5478503;-0.15054557
13;709;0.64142627;-0.2418652
13;762;0.35467762;-0.42602277
13;814;0.60495675;-0.34754068
13;867;0.58719826;-0.29536366
13;921;0.7485964;0.13765825
13;974;-0.09842553;-0.20374447
13;1026;-1.7087202;-0.5652016
13;1079;-3.7098658;-0.8759502
13;1131;-5.6268916;-1.1447861
13;1184;-7.1248026;-1.4598557
13;1238;-7.533833;-1.3469396
13;1293;-7.7415185;-1.0635169
13;1346;-7.4493685;-0.41887447
13;1398;-7.037716;-0.49788508
13;1452;-6.5446453;-0.6906661
13;1504;-5.2230844;-0.9777216
13;1556;-4.4090166;-1.1993479
13;1607;-3.6839116;-1.2555535
13;1659;-3.009041;-1.1283115
13;1713;-2.4803362;-0.9221252
13;1765;-1.8663104;-0.6961841
13;1819;-0.91433734;-0.40144128
13;1872;-0.56199366;-0.4806251
13;1923;0.27804047;-0.36296618
13;1974;-0.19004257;-0.24960123
13;2028;-1.1045157;0.06858921
13;2080;-2.1324315;0.07130784
13;2132;-3.012803;0.2828423
13;2185;-3.95946;0.17596659
13;2238;-4.336611;0.10247909
13;2291;-4.884675;-0.31094462
13;2344;-4.9330807;-0.58428574
13;2396;-5.224467;-0.6324943
13;2449;-5.7087455;-0.7028567
13;2502;-5.8248243;-0.80544156
13;2554;-6.4372935;-0.6494578
13;2606;-6.927962;-0.92410475
13;2658;-6.708765;-0.8418831
13;2710;-6.5715666;-0.8495373
13;2763;-6.698333;-0.9260088
13;2815;-6.690451;-0.8071248
13;2866;-6.535004;-0.63957936
13;2918;-6.0460253;-0.5767394
13;2971;-5.887579;-0.41163796
13;3024;-5.240751;-0.3471043
13;3075;-4.3641715;-0.4297582
13;3129;-3.2047632;-0.37850046
13;3183;-2.3109922;-0.4377378
13;3237;-1.7220755;-0.44473383
13;3290;-1.1502738;-0.5945351
13;3343;-1.0991304;-1.122438
13;3395;-0.4943704;-1.0102195
13;3448;0.14003906;-0.79345924
13;3501;0.47801843;-0.77596694
13;3552;0.7104238;-0.5725749
13;3604;1.1473098;-0.40778124
13;3656;0.8083634;-0.33965844
13;3710;0.2928315;-0.51067287
13;3763;-0.903724;-0.5976736
13;3815;-0.62297755;-0.1770797
13;3865;-0.123854965;0.055338185
13;3918;0.86297715;0.12931177
13;3970;2.46143;0.029865364
13;4021;4.7292037;-0.41120568
13;4073;6.560679;-0.9903247
13;4124;7.484952;-1.1876856
13;4179;7.5325155;-1.1051956
13;4232;7.2809553;-1.0487765
13;4284;5.914996;-0.8540428
13;4336;4.3398223;-0.6122606
13;4390;2.0525773;-0.33261365
13;4442;1.1446555;-0.29435927
13;4494;0.7226965;-0.29823667
13;4547;1.6074927;-0.29898608
13;4604;3.082468;-0.28743377
13;4657;3.105239;-0.34181017
13;4710;3.0421462;-0.32224718
13;4762;2.5489645;-0.39684358
13;4813;1.2280648;-0.48934683
13;4867;0.79524297;-0.633315
13;4922;0.12267122;-0.32847303
13;4975;0.9819439;-0.4907502
13;5027;1.8023437;-0.16004878
13;5080;1.0970699;0.17802802
13;5132;1.4045049;0.120943405
13;5185;0.6365507;-0.3006351
13;5239;-0.7515691;-0.2069648
13;5290;-2.3133545;-0.280928
13;5342;-3.582561;-0.3157113
13;5395;-4.76662;-0.56533635
13;5447;-5.4362493;-0.4022767
13;5501;-5.930006;-0.5265596
13;5555;-5.381573;-0.934232
13;5609;-5.1041927;-1.0591668
13;5664;-4.558799;-0.75188404
13;5717;-3.366276;-0.46409786
13;5769;-1.6144205;-0.5704149
13;5821;-1.0640132;-0.22197461
13;5874;-0.3142249;-0.3564396
13;5925;0.005124212;-0.4523217
13;5979;-0.24589175;-0.52910924
13;6032;-1.6101122;-0.56992674
13;6085;-3.4330354;-0.5416959
13;6138;-4.749791;-0.35134235
13;6191;-6.0223026;-0.85395163
13;6242;-7.335574;-0.5854186
13;6293;-7.8954096;-1.0378419
13;6344;-8.040219;-1.2142843
13;6398;-8.30479;-1.0724975
13;6451;-8.779791;-1.291478
13;6505;-8.670308;-1.2457632
13;6557;-8.065953;-1.3481543
13;6608;-8.077228;-1.7190927
13;6659;-7.9468217;-1.4485976
13;6711;-7.813783;-1.3623961
13;6764;-7.705598;-1.5324104
13;6816;-6.7349825;-1.106882
13;6869;-5.3975625;-0.64323807
13;6922;-3.6478784;-0.34479406
13;6976;-1.7749646;0.001869829
13;7029;-0.6469848;-0.04903547
13;7082;0.47594967;-0.16848128
13;7136;1.1224856;0.27250063
13;7189;0.7521825;-0.43049094
13;7242;0.87848556;-0.5525341
13;7293;0.91922224;-0.35403296
13;7345;0.068015;-0.4777137
13;7398;-0.24252126;-0.3340585
13;7452;-1.0819451;-0.74561346
13;7505;-1.1788595;-0.8584458
13;7558;-0.8965478;-0.56687236
13;7611;-0.75983566;-0.75921166
13;7663;-0.35886702;-0.7010751
13;7715;-0.002512358;-0.32131737
13;7768;-0.70285463;-0.1955275
13;7821;-0.23158558;-0.059311938
13;7872;-0.6091076;-0.10095349
13;7925;-0.63734883;-0.58947426
13;7979;-0.8666296;-0.7835621
13;8031;-0.92225575;-0.685319
13;8084;-1.4755278;-0.5573494
13;8136;-1.8512517;-0.30189428
13;8189;-2.032381;-0.42782724
13;8242;-1.434018;-0.51945984
13;8295;-1.0232394;-0.561602
13;8347;-0.061241813;-1.0185463
13;8400;0.5100987;-0.69069296
13;8452;0.77818096;-0.25849915
13;8506;0.7505088;0.20175141
13;8560;0.2790956;0.42502677
13;8612;-0.11569484;0.31758
13;8665;-1.0985986;0.07922842
13;8716;-2.0805218;-0.5328477
13;8769;-2.5364535;-0.7415692
13;8823;-3.1235666;-0.6559396
13;8876;-3.5421891;-0.5461579
13;8928;-3.3784752;-0.40407908
13;8980;-3.5454934;-0.28752917
13;9033;-3.4280148;-0.28685755
13;9085;-3.7854533;-0.25688544
13;9139;-4.6563516;-0.6404729
13;9192;-5.49241;-0.74960804
13;9246;-6.8634734;-0.7882365
13;9299;-7.2937827;-0.9207996
13;9351;-7.5060887;-0.6603695
13;9405;-7.4007087;-0.73443955
13;9457;-6.974836;-0.81687987
13;9509;-5.577465;-0.5069199
13;9563;-4.1083994;-0.45488903
13;9616;-2.4440129;-0.63049185
13;9668;-1.258774;-0.5078092
13;9720;-0.10224907;-0.501124
13;9776;0.47548005;-0.11024313
13;9828;0.29660943;0.019983787
13;9880;0.1809239;-0.10217642
13;9932;0.27418584;-0.08271088
13;9984;0.40572077;-0.17371431
13;10036;0.5140828;-0.38422793
13;10088;0.7208092;-0.37501588
13;10141;0.48174253;-0.18933572
13;10193;0.98167044;0.28734875
13;10246;1.0268493;0.6716855
13;10298;1.2143869;0.9542883
13;10350;0.84962034;1.027753
13;10402;0.9842491;0.9459594
13;10455;0.3467178;0.8336311
13;10507;0.42527866;0.39194742
13;10560;0.19368882;0.085750796
13;10613;-0.06917997;-0.2314291
13;10665;-0.91993105;-0.57617134
13;10719;-1.7787125;-0.32513052
13;10770;-1.6788815;-0.1490261
13;10822;-1.86881;-0.03166978
13;10874;-1.8386765;0.39752978
13;10927;-0.84898275;0.174386
13;10978;0.014659593;0.2850945
13;11031;0.4822742;0.42525584
13;11084;0.6418119;0.30571887
13;11137;0.7138379;0.058860086
13;11190;1.1578908;0.31673113
13;11242;0.17588164;0.37898242
