Round;Timestamp;AccX;AccY
0;0;-2.7102363;3.5290532
0;20;0.061291598;2.7739222
0;70;-1.0876858;2.2629995
0;120;-0.26551694;0.5664681
0;173;-0.31328496;1.7322328
0;227;-0.42794645;1.5142725
0;281;-0.43666616;1.3774402
0;333;-0.81991875;1.0767792
0;386;-0.6690861;0.59474975
0;443;-0.041797936;0.62302107
0;496;0.79914623;0.29463404
0;549;0.93977916;0.2660695
0;600;0.66273886;0.801498
0;652;0.61137843;0.9692962
0;705;0.08057669;0.96694034
0;757;-0.7122979;0.91757107
0;810;-0.63269836;1.2803662
0;863;-0.66757184;1.3438985
0;917;-0.7417859;0.73148763
0;969;-0.9178064;0.9540769
0;1021;-1.1501195;0.8533297
0;1075;-0.7799346;0.7279616
0;1128;-0.49402958;0.44150007
0;1180;-0.2119035;0.7676442
0;1232;0.90876746;0.9205944
0;1285;0.82866013;0.51778394
0;1338;-0.2872389;-0.12020131
0;1391;-1.2679969;0.19503106
0;1443;-2.431118;-0.35944116
0;1495;-3.341692;-0.25225973
0;1547;-3.605082;-0.03439776
0;1600;-2.968447;0.4441089
0;1653;-1.6125942;0.45476565
0;1704;-0.5289268;0.52624136
0;1756;0.43977964;0.30110767
0;1806;0.038913544;0.12919568
0;1859;-1.3448024;-0.10062179
0;1912;-3.0756009;-0.3056577
0;1965;-4.7983937;-0.4974125
0;2017;-6.323519;-0.52207685
0;2071;-7.6629295;-0.5049009
0;2125;-7.983193;-0.3456803
0;2178;-7.3573585;-0.40125367
0;2231;-7.384446;-0.5197221
0;2282;-7.341507;-0.31495053
0;2333;-7.103521;-0.6976745
0;2384;-6.674006;-0.5650939
0;2435;-5.3901534;-0.00627673
0;2488;-4.2046614;-0.08821544
0;2542;-1.9357328;0.08728365
0;2594;0.23932786;0.19714956
0;2646;1.515935;0.018323379
0;2700;2.1834695;0.2877457
0;2753;1.923536;0.21124843
0;2803;1.245042;0.17032933
0;2856;0.46834528;0.38131344
0;2906;-1.4614863;-0.014958072
0;2958;-2.864308;-0.27921987
0;3010;-5.119029;-0.99214566
0;3062;-6.8706317;-1.313884
0;3114;-8.296716;-1.3789439
0;3165;-9.188499;-1.4407405
0;3216;-9.028771;-1.549858
0;3266;-8.765048;-1.3804573
0;3318;-8.844635;-1.2209568
0;3371;-8.301659;-1.2458969
0;3421;-8.061717;-1.2585148
0;3472;-7.359365;-0.7385231
0;3523;-6.0566893;-0.38868257
0;3574;-4.316254;-0.32108942
0;3625;-2.0483916;-0.11360641
0;3675;-0.57776964;-0.13316835
0;3726;0.4580087;-0.011299373
0;3778;1.8862516;-0.15473694
0;3829;2.8793998;-0.18992448
0;3879;3.1756454;-0.5129624
0;3930;3.7265916;-0.56483054
0;3980;3.6334417;-0.7347432
0;4031;2.8784347;-0.8533629
0;4082;1.7830324;-0.5880076
0;4134;0.7240283;-0.50345296
0;4184;0.06475949;-0.44677043
0;4234;-0.72282827;-0.31473595
0;4285;-2.1663089;-0.60690206
0;4335;-2.8776846;-0.6009985
0;4386;-3.6647353;-0.20209657
0;4437;-3.6141357;-0.4756667
0;4488;-2.6537592;-0.32391262
0;4538;-1.45176;-0.63626266
0;4590;-0.5125261;-0.5878843
0;4641;0.14690447;-0.50240505
0;4691;0.07967506;-0.559557
0;4742;0.36488667;-0.51888984
0;4794;0.31086683;-0.3261566
0;4844;0.6360077;-0.55294454
0;4895;0.3685816;-0.35382363
0;4946;0.24145885;-0.32281408
0;4996;0.2652848;-0.29821703
0;5047;1.1291037;-0.42760548
0;5099;2.430377;-0.44270653
0;5149;4.0422115;-0.46555412
0;5199;5.71126;-0.8926061
0;5250;7.0429277;-1.1189702
0;5301;7.847534;-1.0034773
0;5351;7.773444;-1.2941282
0;5402;7.696543;-1.3339652
0;5454;7.6592712;-1.8724825
0;5504;7.394668;-1.565557
0;5555;6.264862;-1.2808285
0;5606;4.963678;-1.138474
0;5658;3.7291086;-0.84741044
0;5708;2.7991133;-0.3279279
0;5760;1.0976119;-0.48681888
0;5812;-0.11500054;-0.47624508
0;5862;-1.1381392;-0.7964928
0;5913;-2.3494365;-0.8340663
0;5965;-3.7511806;-1.0160898
0;6017;-4.566684;-1.1242882
0;6070;-4.6677504;-1.0766684
0;6122;-4.3338223;-0.9625862
0;6174;-4.183484;-0.8764323
0;6226;-4.0671153;-0.6224614
0;6277;-3.55557;-0.43193683
0;6328;-3.5985672;-0.6569524
0;6381;-3.4120235;-0.6238606
0;6434;-2.9525359;-0.5010411
0;6486;-2.8464952;-0.75089216
0;6538;-2.5342467;-0.85146725
0;6590;-2.8134356;-0.56691283
0;6642;-3.222835;-0.61663336
0;6693;-3.0853434;-0.85991126
0;6745;-3.6035223;-1.0558885
0;6797;-3.738149;-0.9959185
0;6850;-3.423531;-0.82912236
0;6903;-3.1728315;-0.62329155
0;6954;-2.6292064;-0.43519124
0;7006;-2.9452026;-0.10407834
0;7056;-3.2338865;-0.14614476
0;7107;-3.1787848;-0.02495258
0;7158;-3.4395113;-0.17505345
0;7210;-3.199089;-0.46246234
0;7262;-2.026674;-0.64513165
0;7313;-0.94274235;-0.5452582
0;7365;0.036126554;-0.55373734
0;7417;0.67888063;-0.6046189
0;7468;1.0154703;-0.46067756
0;7521;1.1030027;-0.1593554
0;7572;1.1061835;0.029689096
0;7624;0.07960778;-0.41573706
0;7676;-1.0415711;-0.71812063
0;7728;-2.8634942;-0.6956587
0;7781;-4.6940722;-0.85065454
0;7834;-6.063536;-1.3648775
0;7886;-7.0520515;-1.4347249
0;7938;-7.1773844;-1.3705903
0;7988;-6.8571343;-1.0012863
0;8041;-6.449363;-1.1020626
0;8093;-5.116271;-0.795045
0;8146;-3.4992845;-0.3844404
0;8198;-2.5574872;-0.3553358
0;8250;-0.849582;-0.50978464
0;8304;0.16874146;-0.423952
0;8356;1.0406082;-0.33903557
0;8408;0.90028095;-0.006836449
0;8459;0.6701568;0.06766159
0;8512;0.5654949;-0.02435971
0;8563;0.71703124;0.11040584
0;8613;0.41146687;0.19301103
0;8665;0.6809369;-0.21798944
