Round;Timestamp;AccX;AccY;
9;11;-8.330625;5.2409077;
9;31;-4.206373;-0.7905655;
9;81;-6.121734;-4.3696575;
9;131;-0.33901882;-1.6515204;
9;182;-0.15600874;-2.5673025;
9;232;0.061579682;-1.5839064;
9;286;0.22370224;-0.47184327;
9;338;-3.1729233;-1.0976139;
9;390;-5.187025;-1.5741025;
9;442;-6.860977;-1.2622398;
9;492;-7.2142324;-0.6698987;
9;543;-8.082567;0.5785282;
9;595;-8.456566;1.1503568;
9;647;-8.715411;2.384717;
9;698;-7.6309257;4.3024087;
9;750;-8.520333;4.5121937;
9;802;-7.8870907;3.91666;
9;854;-7.6656594;3.4411871;
9;906;-5.7529755;3.577462;
9;958;-5.67297;4.4900846;
9;1011;-6.0895476;4.7229815;
9;1064;-7.184889;3.6263523;
9;1116;-8.674007;1.977187;
9;1170;-9.421203;0.63050836;
9;1222;-10.774854;-1.3939239;
9;1273;-10.773409;-2.3635714;
9;1325;-9.511751;-2.0691822;
9;1377;-9.231309;-2.0466964;
9;1430;-6.8578496;-1.2867093;
9;1483;-5.7678914;-1.7851977;
9;1536;-5.3788724;-3.023488;
9;1587;-5.217604;-1.8901259;
9;1638;-5.9080434;-1.2517904;
9;1689;-6.8893504;-0.68558973;
9;1740;-7.9416685;-0.53782487;
9;1793;-8.937702;-0.8704707;
9;1847;-7.269098;-0.5180711;
9;1900;-4.079383;-0.6172294;
9;1952;0.6456779;-0.9203902;
9;2004;3.791612;0.7874229;
9;2057;9.024831;2.0860713;
9;2110;9.071204;3.770815;
9;2163;8.344237;4.037965;
9;2214;8.037191;2.532508;
9;2266;8.772765;0.49362847;
9;2319;9.624851;-1.0271802;
9;2371;8.196869;-0.90405285;
9;2424;7.699743;-0.55756813;
9;2477;7.3041925;1.2617326;
9;2530;4.6267323;4.0464373;
9;2583;3.340299;4.306764;
9;2635;5.2219915;2.2914627;
9;2688;7.4361687;0.78534806;
9;2740;9.716168;-0.06976454;
9;2791;7.728925;-0.8703794;
9;2842;8.320578;-2.6191187;
9;2892;7.4328537;-2.3865855;
9;2944;7.738725;-2.4628353;
9;2995;7.3691106;-2.6458178;
9;3048;8.892483;-3.293644;
9;3101;8.9528;-2.9341748;
9;3153;8.912116;-1.2945548;
9;3206;6.617336;0.31019434;
9;3259;6.2390046;2.15685;
9;3311;6.2178164;4.703036;
9;3361;6.1088586;5.9824023;
9;3412;4.8067265;6.2516885;
9;3463;3.553068;6.2597427;
9;3517;0.658285;5.6228933;
9;3569;-3.6027231;4.5872507;
9;3621;-5.57666;2.8580682;
9;3671;-7.3270497;1.1375767;
9;3723;-6.720138;0.1575271;
9;3776;-7.7085276;-1.2512522;
9;3827;-7.576437;-2.418665;
9;3878;-7.9801993;-2.2569985;
9;3929;-8.385032;-1.5095763;
9;3980;-9.869485;-1.4342202;
9;4031;-9.613308;-1.2970655;
9;4083;-9.902137;-1.2855227;
9;4133;-8.501162;-1.2371557;
9;4185;-9.331955;-2.368962;
9;4238;-7.1744537;-2.1900012;
9;4291;-6.824711;-0.80139744;
9;4342;-6.0202017;1.7960976;
9;4394;-6.543102;3.1632693;
9;4446;-6.478089;4.3837385;
9;4500;-7.280897;5.041056;
9;4551;-6.9224954;5.2322645;
9;4603;-5.2217374;4.3271756;
9;4655;-3.3590536;3.7066407;
9;4707;-3.9663088;4.567958;
9;4758;-4.1081095;5.474756;
9;4809;-4.3679776;4.8979874;
9;4860;-4.556406;4.8906503;
9;4913;-5.4630504;4.7780848;
9;4964;-3.7465487;4.750948;
9;5016;-0.26372802;4.057446;
9;5067;2.1056912;3.0738115;
9;5119;3.8511825;3.2894113;
9;5171;5.470645;2.8301325;
9;5223;6.707987;2.368078;
9;5276;7.244848;2.509742;
9;5327;6.867417;2.3829086;
9;5379;6.8493304;2.9247274;
9;5431;6.0672297;3.0114043;
9;5483;4.38786;2.3678353;
9;5535;2.1833553;1.6292595;
9;5586;-0.82223326;0.34804228;
9;5639;-4.7521806;-1.0849185;
9;5691;-5.6776285;-1.9638963;
9;5744;-6.9147024;-2.5008028;
9;5796;-6.817096;-1.5632261;
9;5848;-6.4980125;-0.80670184;
9;5901;-6.2535357;-0.89824533;
9;5953;-6.756027;-1.3881963;
9;6005;-8.926268;-1.5824533;
9;6057;-11.6032715;-1.7208402;
9;6109;-10.287185;-1.6492307;
9;6162;-10.387278;-1.4590513;
9;6214;-8.615803;-0.14726838;
9;6266;-6.710174;2.8669174;
9;6316;-5.565875;4.5286565;
9;6366;-5.119191;5.8715987;
9;6418;-5.568217;6.9779754;
9;6468;-5.9496503;8.223722;
9;6519;-4.327202;7.371361;
9;6572;-4.2399273;6.5049105;
9;6623;-3.2890322;5.78803;
9;6675;-3.4119976;6.983073;
9;6727;-3.0424736;5.816005;
9;6780;-2.3253877;5.071847;
9;6832;-0.37894002;4.196205;
9;6885;1.925824;4.07184;
9;6936;4.903371;3.2005157;
9;6987;6.7705;2.7236128;
9;7038;8.332457;2.9842074;
9;7089;7.4451456;2.7528367;
9;7142;7.0529056;2.4324489;
9;7193;4.6000295;2.6781077;
9;7244;2.4694834;2.970598;
9;7295;0.8212975;2.891087;
9;7346;-0.9439446;2.9607186;
9;7399;-1.2088624;2.3542154;
9;7451;-0.49590132;2.4125926;
9;7502;-0.65891457;1.5295569;
9;7554;-0.23388775;0.64399356;
9;7606;-1.3129243;0.5196962;
9;7659;-2.024395;-0.5292285;
9;7712;-1.1370281;-0.9850213;
9;7764;-1.2454576;-1.0246613;
9;7816;-0.64484054;-0.5600659;
9;7868;0.85111886;-0.66801137;
9;7921;1.4716328;0.25001487;
9;7974;1.3434932;0.2958323;
9;8027;0.18389237;1.4882979;
9;8081;-0.78338385;0.5103662;
9;8133;-0.8633481;-0.027706353;
9;8185;-1.9394735;-0.45716697;
9;8236;-3.19517;-0.29303044;
9;8286;-2.6698406;-1.9701151;
9;8338;-4.3575964;-3.2992315;
9;8390;-5.0107775;-3.3983183;
