Round;Timestamp;AccX;AccY;
10;10;-1.6519991;-1.3742718;
10;30;0.8377312;2.2457612;
10;81;3.414371;2.7849355;
10;131;0.8303091;0.072304875;
10;182;2.4710557;1.7278954;
10;234;-0.24349022;0.120428324;
10;287;-1.1530477;3.3322499;
10;339;1.9785683;4.251384;
10;390;2.2184672;2.1334732;
10;442;-1.5279796;0.34620157;
10;494;-0.7005434;0.90644485;
10;546;-0.14006081;1.4887146;
10;602;-4.045482;-2.4909272;
10;655;-8.459433;-1.737951;
10;706;-7.8683043;-2.1408954;
10;757;-10.450691;-3.9621644;
10;807;-11.810118;-1.5969324;
10;857;-5.2011633;-0.24899697;
10;908;-8.79055;-0.99000245;
10;958;-5.593095;-1.3316549;
10;1009;-11.943715;-4.511394;
10;1059;-8.53892;-4.2147527;
10;1111;-7.7835493;4.188895;
10;1163;-2.5517402;9.690292;
10;1214;-7.575493;7.204632;
10;1265;-7.0767813;5.736986;
10;1318;-4.9938264;4.9397173;
10;1368;-2.4150312;7.2462907;
10;1418;-3.6327221;7.7835493;
10;1468;-6.2297125;5.3965306;
10;1518;-2.1806388;4.5532928;
10;1569;-1.1247959;1.7951725;
10;1620;-1.396059;6.1600413;
10;1672;-2.3539789;1.3848063;
10;1725;1.7827227;5.810488;
10;1776;5.6934114;1.6129738;
10;1827;5.845922;-0.0481235;
10;1880;10.129389;-0.8080431;
10;1931;9.182002;-2.540727;
10;1981;19.278353;-3.9691074;
10;2033;17.792511;-4.074692;
10;2083;4.402937;-0.74770916;
10;2133;12.495578;-3.057156;
10;2184;9.92229;0.10414789;
10;2234;14.335762;-4.418499;
10;2286;14.259148;-1.9294872;
10;2339;11.199596;-0.9909601;
10;2389;0.28443113;1.6716318;
10;2440;4.2626367;-0.17310074;
10;2490;8.011237;-5.462371;
10;2540;6.3092003;-12.056482;
10;2582;-1.931323;-4.556964;
10;2592;-10.353725;1.0498575;
