Round;Timestamp;AccX;AccY;
1;10;9.913192;6.281188;
1;31;4.9093103;1.1920729;
1;83;-16.197731;-1.6397886;
1;135;-12.084254;-5.7479997;
1;185;-9.608504;-3.529791;
1;237;-8.322559;-2.565073;
1;289;-4.640848;-1.2644141;
1;339;-3.9271584;0.25536698;
1;390;-3.5761402;1.0099841;
1;442;-2.0741549;1.938783;
1;493;-0.8136989;2.7513916;
1;546;-0.33519343;2.5702336;
1;601;0.6540431;1.5458115;
1;656;0.1720374;1.6359994;
1;708;0.47012383;1.6730494;
1;763;-0.15148667;1.4108409;
1;818;0.2121044;1.147857;
1;870;0.27879497;0.965002;
1;922;1.1722043;0.34064192;
1;975;2.5828497;-0.5447939;
1;1026;4.6088176;-1.9252927;
1;1076;5.825903;-1.4516739;
1;1129;6.5552683;-1.1827439;
1;1182;5.769622;-0.98043287;
1;1233;4.8855085;-0.5044625;
1;1286;2.882669;0.30755335;
1;1338;1.3639954;0.63253045;
1;1391;-0.5552413;0.72323966;
1;1442;-2.0474644;0.2574503;
1;1493;-4.037901;0.13610984;
1;1544;-5.6270657;-0.2794458;
1;1597;-6.7925773;-0.66757596;
1;1650;-7.533848;-0.9659153;
1;1702;-7.038233;-1.0059522;
1;1755;-6.573462;-0.6561812;
1;1808;-6.5893006;-0.40131798;
1;1860;-6.2925777;-0.32308874;
1;1911;-6.677632;-0.28170842;
1;1962;-6.256255;-0.14904682;
1;2015;-6.056891;-0.10321704;
1;2066;-6.07079;-0.42121267;
1;2119;-5.2685165;-0.46204987;
1;2171;-4.542631;-0.42707068;
1;2225;-4.474606;-0.3755373;
1;2278;-4.0843973;-0.20719692;
1;2331;-3.0991573;0.21157384;
1;2383;-2.4932265;0.25949416;
1;2436;-2.8368633;0.19589339;
1;2488;-3.437683;-0.17521612;
1;2541;-3.9502144;-0.34491736;
1;2593;-4.3677506;-0.44592053;
1;2646;-4.3590384;-0.22021997;
1;2698;-3.2971444;-0.10446184;
1;2751;-1.3815953;0.46250898;
1;2804;-0.39271033;0.68127376;
1;2855;0.08431009;0.6030641;
1;2907;0.3972054;0.48926806;
1;2959;0.2622532;0.48069042;
1;3011;0.6756769;0.78564113;
1;3064;1.0312345;1.1321298;
1;3118;-0.019664682;0.0481576;
1;3171;0.76529056;0.7761857;
1;3223;1.1328286;1.0535637;
1;3276;1.3763677;0.8056333;
1;3329;0.80642146;0.98713136;
1;3381;0.8295632;0.5959955;
1;3435;1.6413455;0.8246386;
1;3487;0.7898234;0.38966718;
1;3542;-1.688192;-0.54917717;
1;3600;-2.606782;-0.88421166;
1;3651;-3.9131093;-1.9268068;
1;3703;-6.4329123;-2.6225886;
1;3754;-8.809447;-2.7494192;
1;3804;-9.188881;-3.6384578;
1;3856;-9.160461;-3.0414155;
1;3906;-9.932337;-2.2047248;
1;3958;-10.667997;-1.8755274;
1;4013;-9.746855;-1.9176695;
1;4063;-8.170857;-1.3854384;
1;4118;-6.4813743;-0.8107119;
1;4169;-3.525242;-0.17152633;
1;4221;-0.90436244;-0.40750554;
1;4272;0.18604189;-0.27556324;
1;4324;0.19879444;-0.16308345;
1;4376;-0.4292927;-0.6867763;
1;4429;-0.65532404;-0.6073591;
1;4482;-2.1023319;-0.5489583;
1;4536;-3.7437334;-0.5042645;
1;4589;-4.2696548;0.0044774762;
1;4641;-4.2460976;0.095730774;
1;4693;-3.7896578;0.17380247;
1;4746;-2.3833206;0.2987601;
1;4800;-0.7121744;0.5793325;
1;4851;0.82524407;0.1540684;
1;4903;1.4284909;0.105854765;
1;4957;0.90686977;-0.2886133;
1;5010;1.4106936;-0.23415087;
1;5062;1.6727294;0.3179054;
1;5115;1.345474;0.28427157;
1;5167;1.2739526;0.67585313;
1;5218;1.1183336;0.3412525;
1;5270;0.9469502;0.10408763;
1;5323;0.6131301;0.06752164;
1;5376;-0.18157695;-0.31343004;
1;5428;-0.26215166;-0.37000996;
1;5481;-1.1303202;-0.09029767;
1;5534;-0.5425075;-0.4921722;
1;5586;0.05936361;-0.14327686;
1;5638;0.429274;-0.56770253;
1;5691;0.65375376;-0.2921496;
1;5743;1.1547959;0.013998317;
1;5796;1.3582368;0.37367475;
1;5849;2.5632944;0.41057965;
1;5902;3.2245753;-0.28488308;
1;5954;5.434225;-0.8361962;
1;6007;7.2797837;-1.1888444;
1;6059;8.60849;-1.5974952;
1;6113;9.277618;-1.2981715;
1;6166;9.034627;-1.0364323;
1;6218;9.693354;-0.35046452;
1;6271;9.876973;-0.59209234;
1;6324;8.932485;-1.5215474;
1;6376;8.515534;-1.8968339;
1;6428;9.058246;-1.3781834;
1;6481;9.731767;-1.3448925;
1;6535;8.830173;-1.5686915;
1;6588;7.8116493;-1.84176;
1;6642;8.7977495;-0.6904827;
1;6694;7.3840375;-0.3670166;
1;6745;4.780678;-0.54348695;
1;6796;2.2946465;-0.0985945;
1;6848;0.92495877;0.7557116;
1;6901;-0.0860305;0.24488644;
1;6955;-0.9813615;-0.11462846;
1;7007;-0.6994457;-0.12391095;
1;7059;0.30509585;0.5791863;
1;7111;0.20625675;0.8811522;
1;7163;0.8524923;0.7366854;
1;7214;1.6602879;1.0584661;
1;7267;2.1838498;0.8897289;
1;7320;2.0568473;0.8190159;
1;7372;2.2329757;1.0326451;
1;7425;1.0588955;0.8201405;
1;7479;-0.3843678;0.6882843;
1;7531;-1.238531;0.5168408;
1;7584;-1.2222068;0.25778407;
1;7636;-1.3800842;0.19912714;
1;7689;-1.6062772;0.0041831303;
1;7741;-2.1188614;-0.011296272;
1;7795;-1.5572251;-0.21807343;
1;7847;-1.5326102;-0.45233935;
1;7900;-1.5164604;-0.031430405;
1;7950;-0.29368153;0.021365376;
1;8001;0.019385796;0.29145515;
1;8051;0.58514297;0.61731946;
1;8101;0.807755;0.9642932;
1;8155;1.2390201;1.2618294;
1;8206;1.7518176;1.1956581;
1;8257;1.6239403;0.7670918;
1;8309;-0.058513887;0.42666134;
1;8361;-1.6218665;-0.53599334;
1;8412;-4.3436766;-1.2731102;
1;8466;-6.062564;-1.5001798;
1;8519;-7.6178265;-1.2800395;
1;8570;-7.798289;-0.76864964;
1;8621;-8.156843;-0.40587002;
1;8673;-7.3055806;-0.24760917;
1;8727;-7.182881;-0.6443905;
1;8780;-6.9268217;-0.89109486;
1;8832;-7.2893753;-1.022066;
1;8882;-7.2304683;-1.0384191;
1;8933;-6.0186133;-0.71138257;
1;8985;-4.0090594;0.09290543;
1;9036;-2.9216738;0.6534191;
1;9087;-0.8044185;0.709687;
1;9137;-0.5710587;0.52796394;
