Round;Timestamp;AccX;AccY;
1;10;9.913192;6.281188;
1;31;4.9093103;1.1920729;
1;83;-16.197731;-1.6397886;
1;135;-12.084254;-5.7479997;
1;185;-4.944984;-1.4305354;
1;237;-5.3103395;-1.019451;
1;289;-6.7162147;-3.2539597;
1;339;-3.6173992;-0.24899702;
1;390;-4.5348577;2.6657043;
1;442;-1.2485762;1.6603788;
1;493;-1.0733206;2.7133486;
1;546;-0.004548955;2.7722461;
1;601;1.0196905;1.6038758;
1;656;-0.3270479;1.7755398;
1;708;0.27126303;0.9569624;
1;763;1.3852851;-0.33734304;
1;818;-2.0458455;4.229118;
1;870;2.2416909;1.0673349;
1;922;-1.0290279;-1.3376405;
1;975;4.5492225;-0.4465186;
1;1026;1.6333244;-0.29233202;
1;1076;7.942524;-2.9692888;
1;1129;6.858191;-1.7590201;
1;1182;6.6601906;-1.0012552;
1;1233;4.819528;1.6373945;
1;1286;1.1678917;-1.2050017;
1;1338;1.5344439;0.5928044;
1;1391;-0.24349031;0.55353945;
1;1442;-0.98497456;0.9921573;
1;1493;-4.1996694;0.59280425;
1;1544;-6.41239;-0.59735334;
1;1597;-6.51606;-1.7671602;
1;1650;-9.114487;-0.72400653;
1;1702;-5.1786585;0.047165774;
1;1755;-7.5781274;-1.3184869;
1;1808;-6.3970675;-0.6019023;
1;1860;-4.869088;-0.3881001;
1;1911;-7.355706;0.2964022;
1;1962;-7.553946;-0.36128506;
1;2015;-5.3718705;0.016759396;
1;2066;-5.847359;-0.67492545;
1;2119;-4.7852907;-0.45825022;
1;2171;-4.9109864;0.06727705;
1;2225;-5.597644;-1.3946226;
1;2278;-2.683661;0.71179616;
1;2331;-2.9963434;-0.3890578;
1;2383;-4.3957543;0.30382422;
1;2436;-1.943613;0.3782839;
1;2488;-0.6327876;1.0031706;
1;2541;-5.4475274;-1.5243882;
1;2593;-6.2388105;-0.8568848;
1;2646;-3.217807;0.013168097;
1;2698;-4.1781216;-0.19081786;
1;2751;-1.827494;1.0788273;
1;2804;1.1820173;0.78793174;
1;2855;0.9215282;-0.24636331;
1;2907;-0.2193089;1.1092336;
1;2959;-0.7635109;0.7383718;
1;3011;0.7290344;-0.076135635;
1;3064;0.24372974;0.736217;
1;3118;2.0922928;1.7223886;
1;3171;2.4552538;0.9478644;
1;3223;-2.1732168;-0.1256956;
1;3276;-2.7787104;-2.1181502;
1;3329;8.210676;6.2359376;
1;3381;0.28730422;-0.967497;
1;3435;-0.6394912;-0.24995466;
1;3487;-1.6038758;1.1080366;
1;3542;1.0426748;-2.3223758;
1;3600;-0.19728217;1.662534;
1;3651;-5.862921;-2.3218968;
1;3703;-7.6463623;-1.7695544;
1;3754;-8.32464;-6.196433;
1;3804;-7.7169905;-2.103785;
1;3856;-12.695254;-1.8382679;
1;3906;-8.065348;-2.7286716;
1;3958;-7.006392;-3.2398338;
1;4013;-12.215696;-0.27246013;
1;4063;-11.336066;-0.69934636;
1;4118;-6.544071;-3.712928;
1;4169;-0.30023295;1.417128;
1;4221;-2.3496697;0.059615683;
1;4272;1.9735405;-0.29927522;
1;4324;0.6476315;0.30597898;
1;4376;-3.028665;-2.1183896;
1;4429;-0.66199666;-0.4086902;
1;4482;-0.5286397;-0.22026658;
1;4536;-2.6819847;0.29927522;
1;4589;-4.1946416;-0.8039729;
1;4641;-6.707835;-0.15203175;
1;4693;-6.3867726;0.11300631;
1;4746;0.8889672;1.0697293;
1;4800;1.3730748;0.43047744;
1;4851;-1.4530408;-0.16567877;
1;4903;1.3115437;0.3811569;
1;4957;1.4257472;-0.05458789;
1;5010;1.4889542;-1.2545617;
1;5062;1.4846445;1.2030863;
1;5115;1.1856086;-0.7881712;
1;5167;2.1068974;1.3939043;
1;5218;-0.15011647;1.6366764;
1;5270;1.4365209;-1.3713989;
1;5323;0.8492233;0.71442986;
1;5376;0.1266532;-1.954387;
1;5428;-0.2475605;1.5191209;
1;5481;-1.2940661;-0.70892304;
1;5534;-1.7211916;-0.18195935;
1;5586;0.8104373;-0.5872976;
1;5638;-0.7850588;-0.46399626;
1;5691;4.081874;-0.741963;
1;5743;-0.0730231;1.0170568;
1;5796;0.016280556;-0.7843405;
1;5849;1.7161639;0.5592855;
1;5902;4.896382;0.96438444;
1;5954;4.8851295;-0.61100024;
1;6007;7.9272017;-1.9768922;
1;6059;6.9858017;-3.0765493;
1;6113;10.539755;-0.048841666;
1;6166;10.194511;-1.3694834;
1;6218;9.310572;-0.014604688;
1;6271;8.180029;0.11563997;
1;6324;7.562564;-2.2831109;
1;6376;13.911029;-0.33782187;
1;6428;6.402814;-4.0402155;
1;6481;6.8000116;-1.890701;
1;6535;9.7673855;0.096246816;
1;6588;11.667664;1.7834408;
1;6642;7.7105265;-4.7022123;
1;6694;3.1411927;-2.747586;
1;6745;7.814195;1.2404358;
1;6796;5.8248534;3.2834084;
1;6848;-2.367147;-0.6438009;
1;6901;-1.8588581;-1.6484079;
1;6955;-0.88250273;0.9066841;
1;7007;0.3964799;-0.63422406;
1;7059;0.8942343;0.5178658;
1;7111;1.5859191;2.1906943;
1;7163;-1.0539277;0.11372457;
1;7214;0.22553387;0.6145915;
1;7267;1.9359515;0.9358934;
1;7320;5.4925385;0.926556;
1;7372;2.3841462;1.4176067;
1;7425;-0.4266468;0.49631804;
1;7479;-1.5306132;0.9227254;
1;7531;0.232477;0.20925331;
1;7584;-2.7257988;0.16974898;
1;7636;-0.7716512;0.6227318;
1;7689;0.005267334;-0.11947064;
1;7741;-2.7930756;-0.2710236;
1;7795;-2.9637823;0.0050278185;
1;7847;-1.3077132;-0.30406362;
1;7900;-1.2351687;-0.13862427;
1;7950;1.1178527;-0.5281609;
1;8001;-1.0697292;0.34811684;
1;8051;-0.66175735;1.823424;
1;8101;2.9233203;-0.3734955;
1;8155;-0.44723693;1.666843;
1;8206;2.8830976;1.0551246;
1;8257;0.12234364;1.2969391;
1;8309;1.9057846;0.5755662;
1;8361;-1.5172058;-0.50541586;
1;8412;-3.4198775;-1.6608578;
1;8466;-8.522879;-1.6237475;
1;8519;-7.4890623;-1.7635689;
1;8570;-8.539878;-1.0608706;
1;8621;-6.508877;0.75896204;
1;8673;-7.1770983;-0.18171997;
1;8727;-7.261374;-0.48626232;
1;8780;-8.967243;-1.3876793;
1;8832;-4.610514;-1.1233594;
1;8882;-7.268796;-1.9337966;
1;8933;-6.6036863;0.7769185;
1;8985;-6.556282;-0.07972692;
1;9036;-2.9161377;-0.8477868;
1;9087;1.8394651;1.6658856;
1;9137;0.6327875;1.8413805;
