Round;Timestamp;AccX;AccY;AccZ;Acc Vector a;;;
0;03:36:10:620;0.001756154;-0.001772888;-0.00582695;0.006338813;X;7.1852646;-14.127753
0;03:36:10:630;0.001756154;-0.001772888;-0.00582695;0.006338813;Y;6.299112;-7.060702
0;03:36:10:640;0.001756154;-0.001772888;-0.00582695;0.006338813;Z;1.4664516;-1.9397535
0;03:36:10:650;-0.006256521;-0.016741201;-0.027646065;0.032919853;;;
0;03:36:10:660;-0.012666665;-0.005731516;-0.02977848;0.032864153;;;
0;03:36:10:670;0.00518956;-0.004585214;0.02980709;0.030600954;;;
0;03:36:10:680;-0.003509797;0.003993273;0.13876724;0.138869051;;;
0;03:36:10:691;0.004853606;0.01851751;0.011415482;0.022288312;;;
0;03:36:10:700;0.011544332;-5.09E-04;-0.067481995;0.068464226;;;
0;03:36:10:710;0.016896918;-0.00806855;-0.031001091;0.036217053;;;
0;03:36:10:721;-0.001805358;0.001206607;0.013506889;0.013680325;;;
0;03:36:10:731;-0.016767181;-0.006696161;0.003144264;0.018326574;;;
0;03:36:10:741;0.001909152;-0.00535693;-0.028130531;0.028699623;;;
0;03:36:10:751;-0.01379557;0.011037348;0.008141518;0.019453152;;;
0;03:36:10:761;-0.018697903;0.016491324;0.014174461;0.028679098;;;
0;03:36:10:771;0.008026019;0.01319306;0.003678322;0.01587463;;;
0;03:36:10:781;0.006420814;0.010554448;-0.027703285;0.030333072;;;
0;03:36:10:791;0.020459548;-0.006879333;0.008482933;0.023192207;;;
0;03:36:10:802;0.001044743;0.002157979;-8.75E-04;0.002552413;;;
1;03:36:10:811;8.36E-04;-0.005935062;0.006960869;0.009185707;;;
1;03:36:10:822;0.003492512;-0.015297063;-0.020646095;0.025931815;;;
1;03:36:10:833;0.003492512;-0.015297063;-0.020646095;0.025931815;;;
1;03:36:10:842;0.006832078;-0.002128672;-0.007084847;0.010069934;;;
1;03:36:10:852;0.003498025;-0.002928626;0.013533592;0.014281847;;;
1;03:36:10:863;0.003498025;-0.002928626;0.013533592;0.014281847;;;
1;03:36:10:873;0.003498025;-0.002928626;0.013533592;0.014281847;;;
1;03:36:10:883;0.003498025;-0.002928626;0.013533592;0.014281847;;;
1;03:36:10:894;-0.006228648;0.003703758;-0.010209084;0.012519555;;;
1;03:36:10:904;0.002678528;0.0182859;0.014817238;0.023687532;;;
1;03:36:10:914;0.002678528;0.0182859;0.014817238;0.023687532;;;
1;03:36:10:925;0.002678528;0.0182859;0.014817238;0.023687532;;;
1;03:36:10:934;0.002678528;0.0182859;0.014817238;0.023687532;;;
1;03:36:10:944;-0.005518623;-6.94E-04;-0.003469467;0.006555477;;;
1;03:36:10:954;-0.004414901;-5.55E-04;-0.010437012;0.011345967;;;
1;03:36:10:964;0.004129522;-4.44E-04;-6.89E-04;0.004210039;;;
1;03:36:10:975;0.003303617;-3.55E-04;0.007110596;0.007848616;;;
1;03:36:10:985;0.002642892;0.007377112;0.013350487;0.01548038;;;
1;03:36:10:995;0.002114318;0.005901689;0.003019333;0.006958207;;;
2;03:36:11:005;0.001691453;-0.010601539;-0.028229713;0.030202159;;;
2;03:36:11:015;0.001353167;-0.008481231;0.015723228;0.017915977;;;
2;03:36:11:025;0.001082532;0.008537905;0.004917145;0.009911913;;;
2;03:36:11:036;-0.006795421;-0.008492567;-0.003727913;0.011497773;;;
2;03:36:11:045;-0.013097785;-0.014455501;0.012340546;0.023082516;;;
2;03:36:11:056;0.004844666;0.011419939;-0.005450249;0.013549576;;;
2;03:36:11:066;0.010762036;-0.006481838;-0.008085251;0.014940111;;;
2;03:36:11:076;0.010762036;-0.006481838;-0.008085251;0.014940111;;;
2;03:36:11:086;7.59E-04;0.001980782;0.016277313;0.016414926;;;
2;03:36:11:096;6.07E-04;-0.00607682;-0.002301216;0.006526224;;;
